Season,twaDeltaB,twaPrice,l2sr,podRate,maxNegativeTwaDeltaB,isNewMaxTwaDeltaB,Capacity_at_Smin_100,Capacity_at_Smin_200,Capacity_at_Smin_300,Capacity_at_Smin_400,Capacity_at_Smin_500,Capacity_at_Smin_600,Capacity_at_Smin_700,Capacity_at_Smin_800,Capacity_at_Smin_900,Capacity_at_Smin_1000
108,-3378.554,0.997,0.77,0.002,-3378.554,True,33.786,16.893,11.262,8.446,6.757,5.631,4.827,4.223,3.754,3.379
109,-17060.666,0.991,0.765,0.032,-17060.666,True,170.607,85.303,56.869,42.652,34.121,28.434,24.372,21.326,18.956,17.061
110,-10678.446,0.994,0.759,0.039,-17060.666,False,170.607,85.303,56.869,42.652,34.121,28.434,24.372,21.326,18.956,17.061
111,-8969.268,0.995,0.76,0.164,-17060.666,False,170.607,85.303,56.869,42.652,34.121,28.434,24.372,21.326,18.956,17.061
112,-10524.254,0.994,0.76,0.358,-17060.666,False,170.607,85.303,56.869,42.652,34.121,28.434,24.372,21.326,18.956,17.061
113,-4466.275,0.997,0.762,0.51,-17060.666,False,170.607,85.303,56.869,42.652,34.121,28.434,24.372,21.326,18.956,17.061
114,-1240.182,0.999,0.763,0.623,-17060.666,False,170.607,85.303,56.869,42.652,34.121,28.434,24.372,21.326,18.956,17.061
115,5180.717,1.001,0.766,0.652,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,10270.799,1.004,0.769,0.681,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,-1400.728,0.999,0.765,0.635,-1400.728,True,14.007,7.004,4.669,3.502,2.801,2.335,2.001,1.751,1.556,1.401
118,10271.242,1.004,0.772,0.668,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,8196.29,1.004,0.775,0.724,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,6791.5,1.004,0.773,0.666,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,8493.128,1.003,0.774,0.572,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
